object,r,g,b
basin,1.0,0.38823529411764707,0.2784313725490196
bathroom_product,0.5294117647058824,0.807843137254902,0.9803921568627451
bed,1.0,0.8705882352941177,0.6784313725490196
bedding,0.27450980392156865,0.5098039215686274,0.7058823529411765
blanket,0.6784313725490196,1.0,0.1843137254901961
book,0.8235294117647058,0.4117647058823529,0.11764705882352941
bowl,0.8784313725490196,1.0,1.0
cabinet,0.6784313725490196,0.8470588235294118,0.9019607843137255
ceiling,0.6470588235294118,0.16470588235294117,0.16470588235294117
ceiling_light,0.1843137254901961,0.30980392156862746,0.30980392156862746
chair,1.0,0.8941176470588236,0.8823529411764706
chandelier,0.4823529411764706,0.40784313725490196,0.9333333333333333
chopstick,0.8705882352941177,0.7215686274509804,0.5294117647058824
clock,0.9921568627450981,0.9607843137254902,0.9019607843137255
closestool,1.0,0.8941176470588236,0.7098039215686275
computer,0.5803921568627451,0.0,0.8274509803921568
cookware,0.5647058823529412,0.9333333333333333,0.5647058823529412
cosmetic,0.4392156862745098,0.5019607843137255,0.5647058823529412
cup,0.9803921568627451,0.9215686274509803,0.8431372549019608
curtain,1.0,0.6470588235294118,0.0
cushion,0.7803921568627451,0.08235294117647059,0.5215686274509804
daily_equipment,0.9725490196078431,0.9725490196078431,1.0
decorative_box,0.39215686274509803,0.5843137254901961,0.9294117647058824
desk,0.596078431372549,0.984313725490196,0.596078431372549
dining_table,0.0,1.0,1.0
door,1.0,0.9803921568627451,0.803921568627451
door_handle,0.9411764705882353,1.0,0.9411764705882353
doorsill,0.8627450980392157,0.0784313725490196,0.23529411764705882
electric_appliance,1.0,0.5490196078431373,0.0
floor,0.9568627450980393,0.6431372549019608,0.3764705882352941
floor_lamp,0.0,0.807843137254902,0.8196078431372549
flower,0.5411764705882353,0.16862745098039217,0.8862745098039215
fork,0.4,0.2,0.6
fridge,0.5019607843137255,0.5019607843137255,0.5019607843137255
fruit,0.8235294117647058,0.7058823529411765,0.5490196078431373
hardware_decoration,0.0,0.9803921568627451,0.6039215686274509
kettle,0.9411764705882353,0.9019607843137255,0.5490196078431373
kitchenware,0.48627450980392156,0.9882352941176471,0.0
knife,0.8666666666666667,0.6274509803921569,0.8666666666666667
menorah,0.6980392156862745,0.13333333333333333,0.13333333333333333
microwave,0.0,0.5450980392156862,0.5450980392156862
mirror,1.0,0.0,0.0
office_supply,0.5019607843137255,0.0,0.0
ornament,0.5294117647058824,0.807843137254902,0.9215686274509803
other_cooker,0.9333333333333333,0.9098039215686274,0.6666666666666666
painting,0.0,0.5019607843137255,0.5019607843137255
picture_frame,0.803921568627451,0.5215686274509804,0.24705882352941178
pillar,0.4666666666666667,0.5333333333333333,0.6
pillow,0.0,1.0,0.0
plate,0.09803921568627451,0.09803921568627451,0.4392156862745098
range_hood,0.0,1.0,1.0
screen,0.0,0.0,0.5019607843137255
shelf,0.9607843137254902,1.0,0.9803921568627451
sofa,0.4117647058823529,0.4117647058823529,0.4117647058823529
spoon,0.4666666666666667,0.5333333333333333,0.6
spot_light,0.6901960784313725,0.7686274509803922,0.8705882352941177
stool,0.9803921568627451,0.5019607843137255,0.4470588235294118
storage,0.9411764705882353,1.0,1.0
table,0.0,0.0,1.0
tablecloth,0.0,0.5019607843137255,0.0
table_lamp,1.0,1.0,0.8784313725490196
tea_set,0.9411764705882353,0.9725490196078431,1.0
television,1.0,0.9215686274509803,0.803921568627451
throw_pillow,0.37254901960784315,0.6196078431372549,0.6274509803921569
tooling,0.9607843137254902,0.9607843137254902,0.8627450980392157
toy,0.9137254901960784,0.5882352941176471,0.47843137254901963
tray,0.6,0.19607843137254902,0.8
unknown,0.803921568627451,0.3607843137254902,0.3607843137254902
vase,1.0,0.8549019607843137,0.7254901960784313
wall,0.9019607843137255,0.9019607843137255,0.9803921568627451
wall_decoration,0.8274509803921568,0.8274509803921568,0.8274509803921568
wall_light,0.9333333333333333,0.5098039215686274,0.9333333333333333
washing_machine,0.19607843137254902,0.803921568627451,0.19607843137254902
water_tap,0.9607843137254902,0.9607843137254902,0.9607843137254902
window,0.4117647058823529,0.4117647058823529,0.4117647058823529
wine_set,0.2823529411764706,0.8196078431372549,0.8
